season,date,home_away,opponent,result,goals_for,goals_against,attendance,shots,shots_on_goal,yellow,red,opp_shots,opp_shots_on_goal
2024,8/22/2024,Home,Maryland,T,1,1,2742,14,3,2,0,12,6
,8/26/2024,Home,Howard,W,3,2,3206,18,11,1,0,7,5
,8/30/2024,Home,Niagara,W,4,0,914,17,9,2,0,9,6
,9/2/2024,Home,FDU,L,0,1,1083,8,1,3,1,8,5
,9/6/2024,Away,Old Dominion,T,1,1,366,7,4,4,0,20,9
,9/13/2024,Home,Saint Joseph's,W,4,0,1124,25,11,2,0,11,3
,9/17/2024,Away,American,L,3,4,138,23,9,0,0,13,8
,9/21/2024,Away,Cornell,L,0,1,470,21,6,3,0,16,10
,9/28/2024,Away,Binghamton,W,2,0,413,16,10,1,0,8,3
,10/1/2024,Home,Drexel,L,0,5,985,13,5,2,0,14,9
,10/5/2024,Home,Umass Lowell,T,1,1,1003,17,8,3,0,6,5
,10/8/2024,Home,Georgetown,T,0,0,1824,11,4,2,0,17,6
,10/12/2024,Home,Ualbany,L,2,3,609,23,6,1,0,7,4
,10/19/2024,Away,New Hampshire,L,1,2,859,13,9,2,0,12,3
,10/26/2024,Home,Vermont,W,1,0,1789,9,7,1,0,16,5
,11/1/2024,Away,Bryant,W,1,0,300,6,1,2,0,16,7
,11/5/2024,Home,NJIT,W,2,0,904,15,8,2,0,5,1
,11/9/2024,Home ,Binghamton,W,1,0,1175,9,4,2,0,8,2
,11/13/2024,Away,Vermont,L,1,2,1328,6,3,2,0,23,12
